                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92063,                0.87722,                 1.1994,                0.65686,                 0.7225,                0.72712,                0.43367,                 1.4474,                 1.3458,                 1.6361,             0.00063389,             0.00063389,             0.00063389
                     36,                0.90792,                0.84828,                 1.1898,                0.72452,                0.65242,                0.70012,                 0.4112,                 1.4752,                 1.3786,                 1.6744,             0.00063153,             0.00063153,             0.00063153
                     37,                0.92502,                0.85513,                  1.194,                0.73245,                0.66084,                0.73904,                0.43625,                 1.5006,                 1.3917,                 1.6944,             0.00062918,             0.00062918,             0.00062918
                     38,                0.91842,                0.83642,                 1.1896,                0.71421,                0.64908,                0.70146,                0.40865,                 1.4858,                 1.3442,                 1.6888,             0.00062682,             0.00062682,             0.00062682
                     39,                0.87084,                 0.8215,                 1.1701,                0.77621,                0.64579,                0.73157,                0.42964,                 1.4267,                 1.3268,                 1.6517,             0.00062446,             0.00062446,             0.00062446
                     40,                0.87191,                0.77999,                  1.161,                0.72887,                0.67792,                0.70058,                0.38792,                 1.5078,                 1.3206,                 1.7112,             0.00062211,             0.00062211,             0.00062211
                     41,                0.87529,                0.79375,                 1.1685,                0.77732,                0.72949,                0.76078,                0.44789,                 1.4751,                  1.377,                 1.6656,             0.00061975,             0.00061975,             0.00061975
                     42,                0.86056,                0.78845,                 1.1584,                0.76865,                0.69029,                 0.7332,                0.44045,                 1.4608,                 1.3934,                  1.683,              0.0006174,              0.0006174,              0.0006174
                     43,                0.86729,                0.79121,                 1.1703,                0.75603,                0.73908,                0.78166,                0.45828,                 1.4686,                 1.2318,                 1.6583,             0.00061504,             0.00061504,             0.00061504
                     44,                0.85283,                0.79183,                 1.1535,                0.74229,                  0.712,                0.72714,                0.42066,                 1.5124,                 1.4204,                 1.7074,             0.00061268,             0.00061268,             0.00061268
                     45,                0.85549,                0.78077,                 1.1614,                0.68822,                 0.6932,                 0.6987,                0.41885,                 1.4374,                 1.3311,                  1.639,             0.00061033,             0.00061033,             0.00061033
                     46,                0.82986,                0.75148,                 1.1358,                0.72239,                0.66503,                0.72093,                0.42501,                 1.5098,                 1.3914,                 1.6782,             0.00060797,             0.00060797,             0.00060797
                     47,                 0.8359,                0.77094,                 1.1505,                0.78994,                0.69456,                0.72841,                0.39567,                  1.514,                 1.3082,                  1.704,             0.00060561,             0.00060561,             0.00060561
                     48,                0.82238,                0.73988,                 1.1379,                0.75905,                0.67567,                0.73663,                0.42001,                 1.4928,                 1.2678,                 1.6942,             0.00060326,             0.00060326,             0.00060326
                     49,                0.83575,                0.75974,                 1.1415,                0.83249,                0.71741,                0.77746,                0.45423,                 1.4424,                 1.1689,                 1.6696,              0.0006009,              0.0006009,              0.0006009
                     50,                0.81163,                0.72983,                 1.1299,                0.78848,                0.67227,                 0.7387,                0.44313,                 1.4729,                 1.3242,                 1.6655,             0.00059855,             0.00059855,             0.00059855
                     51,                0.81624,                0.73312,                 1.1412,                0.76117,                0.64785,                0.72392,                0.40564,                 1.5917,                 1.3167,                 1.7608,             0.00059619,             0.00059619,             0.00059619
                     52,                0.79617,                0.70209,                 1.1151,                0.81627,                0.63041,                0.74099,                 0.4274,                 1.5081,                 1.2191,                 1.7486,             0.00059383,             0.00059383,             0.00059383
                     53,                0.79563,                0.70017,                 1.1143,                0.73033,                0.69192,                0.72456,                0.41594,                 1.5234,                 1.3154,                 1.7531,             0.00059148,             0.00059148,             0.00059148
                     54,                0.80114,                0.72886,                 1.1268,                0.75027,                0.70001,                0.70964,                0.41153,                 1.5321,                 1.3121,                 1.7237,             0.00058912,             0.00058912,             0.00058912
                     55,                0.80233,                0.70508,                 1.1205,                0.81643,                 0.6186,                0.72722,                0.42283,                  1.497,                 1.3527,                 1.7166,             0.00058677,             0.00058677,             0.00058677
